Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
Mldac kaga't cigwa kimadci'tanit lni/u osiwan. O^owidac udiguwan : "Ambasano, kagu" kanawabamici'kagun wofio/u wra-'kayan. Ayangwamisin, Nanabucu," udigon ini/u ||| 9. NANABUSHU AND THE WOLVES, Continued}
Amc Nanabucu u'kunacic acikackackiwicink, misa pisindawawat, indigunandagu madwagana'pi'tciga. "Taga pina, ninga'rnab," inandam Nanabucu. Kaga't aci'a'gwasaigi- ||| Now once, while they were fixing moose-meat there, "Please let our father boil the broken bones for the marrow. Therefore then let him be the only one to do the cooking," they said of their father.
Midac kaga't krta'kabawinint, midac ka'i'cimi'kawit. Mldac ka-i-gut Ini/u alkiwanzlyan : "Nanabucu. kanawabamivvambansa." ||| Thereupon truly began their father upon his work. So this were they told by him: "I beg of you, watch me not while I am at this work of boiling bones for the marrow. Have a care, Nanabushu," he was told by the old Wolf.
"Nanabucu, kanawabamiwambansagu." Amc cigwa kigicap, amn aya'pitcisigwanig pimida? Amc udacamiguwan kigicap lifc'i'u uda'kanini. ||| Thereupon truly (such was what happened).
Cigwa udinan : "Ambasano, mn ni'tam ninga-aftka," udina15. Midac kaga't a'kat. "Anic mlgu gaya nln, kawln wfka ninganawabamigosl Ii8i/u alkayan. Amc mlcigwa tcigackackiwicinag." Amc tcaTgwa umadclplsiganaanan Ini/u a'kanan. Kagatsa pimitawikanagatiniwan. Miguna anislwaganatank li{:i/u mini'k pamitawikanagatini'k, cigwa kumaa'pl plti'kwacinon kackackiwicininit Ini/u a'kiw^zlma•rganan. Wawanigu ugrtrnabandan lisi/u mangikanagatinig ulkan ka'rcra'cogana/a'nk, ka'i'cipaki'ta'O'wat Ini/u alkiwanz!ma*rn2fanan. Amc m!sa/ aciniwanawat. Ocodac um- ||| Now, as Nanabushu lay wrapped in his old soiled blanket, and as they listened to (their father), it seemed by the sound as if he were gnawing upon a bone. "I say, now, I will take a look," (thus) thought Nanabushu. Truly, as he quietly lifted his old soiled blanket, he saw him at the very moment when he was biting on an ulna, but at just the time when it slipped from his mouth ; and nearly to the ground was stringing the (old Wolf's) saliva. And now, as he was watching him, then of a sudden (the old Wolf) lost his hold (on the bone) in his mouth, (and) straight yonder into (Nanabushu's) eye it struck. Then nothing but tcon, ton, was the sound he heard. "Oh, to Nanabushu slipped a bone from my mouth!" Whereupon said the old (Wolf): "Attend to your uncle, cool him with water !"
Anic mrr11 cigwa kimi'kawit waVu a'kiwa^ima-rngan. ||| And so they truly cooled him off with water, whereupon he was then revived. Accordingly was he then told by the old (Wolf) : "Nanabushu, really you were looking at me."
Wo^owidac ki'i-'kito: "Nanabucu nimpakilta<u'lk," kri-'kito; ||| "Nanabushu, really you were looking at me."
'kito wacau a'kiwa^ima-rngan. "Anic pamasana kaya nln kiga'a'camininim." ||| So when (came) the morning, how thick was the grease frozen! So they were fed in the morning upon the grease made by boiling the bones.
Midac kaga't kigicap. Cigwa anlc na Ini/u uda'ki'kon ||| Now (Nanabushu) said to them: "Pray, let me have a turn at making grease from bones broken and boiled," he said to them. Thereupon truly he made some grease. "Now, it is the same with me too, never should I be watched while at work making grease from broken bones. So therefore cover yourselves up." Now began he upon the work of cracking the bones. Truly very greasy were (the bones). Now, while he sucked the marrow from as many bones as had grease in them, at some distance away, with his head towards (Nanabushu and) rolled up in his blanket, lay the old Wolf. With care he selected a bone of great size which he had split crosswise, (and) with it he hit the old Wolf. So he then killed (the old Wolf). Now, this he said to his nephews: "Mercy, cool him off with some water!" he said to them. And this was what he said of him: "My old friend was certainly looking at me. That is the way I behave whenever any one is watching me."
Cigwasa minawa udacama ;i8i/u udocimas. Amc mlsa7 ||| So then presently was the old Wolf revived. And this he said: "By Nanabushu was I struck," he said; "purposely was I hit by him," said the old Wolf. "No attempt what ever did I make to watch him," said the old Wolf. "So not till after a while will I feed you."
cigwa kidamwawat Ini/u umonzumiwan, "Mlmawin cigwa ||| Thereupon truly was it now morning. According to the story, the grease in his kettle was frozen as thick as a sheet of birch-bark covering of the lodge. Now, again he fed his nephews on it. So by the time they had eaten up their moose, "It must be time for us now to move camp," he was told by the old (Wolf). And so he was
Mldac ka'i'jipa'kaguzita'tiwat. Mldac ka'ijikabaciwat, mlsa' kaga't unisani Ini/u awaslyan. Anlc kawlnigu piicigwanunk ayaslwag. Paniigu papamigusiwag. Mldac kaga't Ligitcimamrkawi'a'nini ini/u awaslyan. Kaga't mmo'a'ya. ||| 11. Nanabushu breaks the Necks of the Dancing Geese . . . 101 -
Mldac ka'i'cikuskusinit, cigwa kaga't uwmdamagon : ||| told by the old (Wolf): "One of my sons I give to you," he was told.
"Kagatsa, nintojim, kigic'tcimanabamin. Ambasano, manu ||| Now, (Nanabushu) uttered assent (while the old Wolf spoke). "This, indeed, will be the source from which I shall obtain good sustenance. Accordingly from this place he should go forth (to hunt)," he said to the old (Wolf).
Klcpin wlnontawisiwan ciixwisa kaininan, kaga't klga'i'niga- ||| "Well, it is on the morrow that we will move," he was told by the old (Wolf).
4ton liGi/u kiya/u. Ambasano, misawa'ku ani'a'timat was:a/u ||| So it was true that then they moved. "I am leaving you one who will keep you supplied with food throughout the winter," he was told by the old (Wolf).
awasP, manii mi'tigons klganabo'kubiton misawa pangins slblnsiwa'kamigak, mldac 'i'l'ma11 kanra'pagitoyan lii:i'u mi'tigons. Mlsagu 'pana katotaman." ||| And it was true.
Anic mlsa gaga't acictcigat misawagu cigwa adimat. Anic ningutingigu piminicawat mi/u awasPyan - - anlc mlgu 'pana 48i/u acictcigat kagatsa clgatci. Ningutingigu ||| Thereupon they separated from one another. And when (he and the Wolf) went into camp, it was truly (the Wolf) that killed the game. Naturally not in one spot they remained, always from one place to another they went. And so truly was (the Wolf) ever killing the pick of game. Truly was he living well.
kani'u'ndciidacpiminicawat Ini/u monson - - anlc mlcigwa anawi slgwaninig - - mldac anantank 8a*a'u ma'rngan piminijawat Ini/u monzon, kaga't ki'tciunltcaniwan Ini/u pami- ||| Now, once while they were 'moving about, in his sleep was (the Wolf's) uncle weeping. The Wolf indifferently signed to him with the hand, "I fancy that probably he may be having a bad dream about me," he said of him who then was taking his nap.
Misa7 papimusat Nanabucu acinica'i'ka'kawanit lni/u utociman, cigwa unisito'kawa/a'n kc^ki'a'nigubanan ningu tingigu anrrnabit, panagu ki'tcisibi kabimi'tigwayanig. Mldac acimawit Nanabucu. Mlnawa'ku ningutci anuwri'ca, a'panagu pabamatamut. Kagatsa umindcinawasinan Ini/u utociman. Anlc ugi'kantan awlya totagut. Ka'ijimadcat msatciwan 4ci/u sibi. Anic anibimatamu. Mldac ka'ijisagitawacagamat 48i/u sibi, mldac i'i'man owabaman Ini/u ||| Thereupon when (Nanabushu) woke, then truly was (the Wolf) informed by him, saying: "Verily, my nephew, have I had an exceedingly bad dream about you. I beg of you, please listen to what I shall say to you ; please do what I tell you. If you have no desire to listen to what I have to tell you, truly then will you do yourself an injury. So please, even if it be when you are overtaking
uglckimanism inabiwan rrman nibrkang. Acinawatinat, mldac ka'i'cipicigunat uctigwanining anuglna'U'tinat. Midac ka/rgut : "Micanim Nanabucu! Niwiwindamawaban win a11," ugri'gon. ||| game, as you go along break off a little stick, no matter how small the dry bed of a brook may be, and there shall you fling the little stick. That is what you should always do."
"Tagackuma, wlndamawicin, nicimisa," ugri nan ini/u uglckimanism. O'o'widac ugl i'gon : "Aye8, klgawmdamon. Km mawin Nanabucu," ugri'gon. "Kawm," ugri -nan. ||| Accordingly that truly was what he did whenever he was about to overtake (the game). Now, once while he was in pursuit of some game, - - for that was what he always was doing, - - truly, he grew tired (of throwing a stick into the dry bed of brooks). For when once away from a certain place he was in pursuit of a moose, since it was now getting well on towards the spring, this was the feeling of the Wolf when in pursuit of the moose, truly a big cow was he following after. And then presently, when he came in sight of her, -- indeed, when he was on the very point of seizing her, - he saw the dry bed of a small brook. They say (that thus) he thought: "Well, now, (without throwing the stick ahead of me,) I will leap right on across the dry bed of this brook." Then straightway down into the middle of a great stream he fell, and all the while was there a ringing in his ears.
Wo'o* idac ugrrgon : "Ka, anica Nanabucu udociman klma'kama. Mraf'* ugimamiclpici, mra/-u kama'kamat Ini/u Nanabucowan udocimini. O'o'widac nintinandam, magica kaya mn unagic sagitciwapinigatanig. Kaya nln nintinantarn rrma11 kra'gosiyan, mlgu*i'u kanawabiyan rrman kra'gosiyan." ||| And now, while along was walking Nanabushu as he followed the trail of his nephew, he presently noticed by the sign of the tracks that (his nephew) was pressing close (upon the moose) ; and once as he looked while going along, there, to his surprise, was a great river flowing across his path. Thereupon wept Nanabushu. Then repeatedly from place to place in vain he went (to get across), and all the while he wept as he wandered about. Truly sad he felt for his nephew. Now, (Nanabushu) knew that by somebody was he (thus) treated. Afterwards he started down the course of the river. Now, he wept as he went. And now, when he had followed the course of the river to where it opened out (into another body of water), then there he beheld the kingfisher looking
"Kao-atsa awawa, ambasano, wawmdamawicin," um'i'nan ||| down into the water. He made a grab for him, but he slipped hold of him at the head when he tried to seize him. And this was what he was told: "Confound Nanabushu ! I meant to tell him something," he was told.
Ini/u uglckimanism. "Mackut tcru'niciciyan kiga'i'ci'i'n." ||| "Pray, do tell me," he said to him.
Medac kaga't ka'i'cina'kumigut. ||| Thereupon truly hither came (the Kingfisher).
"Nacka, klgawawmtamon," ugri'gon Ini/u uglckimanisln. ||| "Do please tell me, my little brother," he said to the Kino-fisher. So this he was told: "Yes, I will tell you. But you must be Nanabushu," he was told.
"Aye8, kagalt mlgiri'ma11 tcra'yayan pacu'irma11 saga'i'gan ||| "No," he said to him.
sagitawa," ugi'i'gon ; "medac i'i'ma11 nawagam minisina- ||| So this he was told : "Ay, without reason was Nanabushu's nephew taken away from him. It was the chief of the great lynxes,1 it was he who took away Nanabushu's nephew. Now, this was I thinking : 'Perhaps I too (shall have a share of) his gut when it is thrown out (from where he has been taken down). I too wanted it, (that) was why I was perched up there, and watched for it while perched up there.'"
tawangak. Midac iman andaci'kawat klcigatinik klcpin ||| "Truly, then, all right! Pray, go ahead and tell me about it," he said to the Kingfisher. "In return I will make you so that you will be beautiful."
gijik aciglciginibawat. Medac iiman tciwabamat 'a^a'11 ka'irda'pinat Ini/u kitociman. Pama ickwatc agwalta mri'ma11 o-alkina agwa'tawat Igi/u manito^. Midac liei'man ||| Thereupon he truly was willing to do what he was asked.
a'pitcmawaya'r cingicing 'asau ka'irta'pinat Ini/u kitociman. Wabickisi minangwana a11 klga'i'nandam a'pl mockamut. Mldac i'i-ma11 nawaya*r tcinibat. Nax, misa aciwlntamonan. Anlc mlgu'i'ma11 katanisiyan i'i'ma11 tciayayan. Usam kaga't kigrtabi ka'i-ci'i'yan. *Pi/u kri'ci'i-yan idac ka'U'ndciagawatansiwan liu kamldciyan." ||| Thereupon, when he painted the Kingfisher, it was his paint that he had used. And so he painted the Kingfisher. Now, this he was told: "Pray, take pains, Nanabushu; for I will help you in what you do," (thus) to him said the Kingfisher.
Cigwasa kaga't Nanabucu kisagitawacigama lifii/u saga'i'gan. Mldac ka-rnandank tcimica'kwatinik. Mldac kaga't ||| "All right," to him said Nanabushu.
ka'i'cimica'kwatinik. Ka*i'ji*u*jigabawit tcigigicap tcibwamo'ka'a'minit klzison, anic manisisag kra'wi ; rrman tclgibig kipada'kisut. Mldac Ii8i/u wlnag kawm kri'cinagusinini, misa7 acigwinawicictcigat, anic inasamigabawi iwiti nibrkang. "Amn ka-i'cictcigayan?" kl'i'nandam 'isi/u wlnag tcri'cina- ||| "Listen! I will now tell you," he was told by the King fisher. "Yea, truly, there at the place where I stay, close to where (the river) flows out upon this lake," he was told; "and so out there upon the water is an island of sand. It is there they amuse themselves by day when the sky is clear •, and there they all sleep. And so all
& gfusininik i'i'u ka'i'nackitcitaminit. ||| day long they nap. And so there will you see the one that seized your nephew. Not till the last does he come forth out of the water to where have come all the manitous. And then there in the very centre lies the one that seized your nephew. He is white, and therefore by that sign will you know when he comes up to the surface. And there in the middle will he sleep. There, that is all I have to tell you. Now, therefore, there will I be present where you are. Ever so proud, truly, am I of what you have done for me. That you did so to me is why I shall not lack for what I shall eat."
agwa'tanit rru manitoc, anotc acinagusinit. "Mldac awaniban," inandam. ||| Truly, always with ease will the Kingfisher obtain the little fishes ; for with tiny spears was the Kingfisher provided. Accordingly very pleased was he with the gift.
Anlc mlgu-rma" agosinit mi/u ugickimanisin. "Ml cigvva kaga," udigon; "tcimockamut," udigon. "Mamawi ickwatc tamockamu," udigon. ||| Then truly Nanabushu followed the stream to where it opened out on the lake. Thereupon he willed that there should be a clear day. Whereupon truly there was a clear day. After he had found a place to stand very early in the morning before the sun was yet up, then into a dead pine stump he changed ; there by the edge of the water he stood. But yet his penis did not change its form, whereupon he was at a loss to know what to do, for as he stood he faced the water. "What shall I do ?" He desired that his penis should not look that way. "Well, I will have a branch (there)." And when he was unable to produce it, he then had the Kingfisher mute upon it. And then, truly, after he had muted upon it, then continually lit he there upon the penis. Whereupon it truly could not be recognized from its appearance, by reason of (the Kingfisher) having muted upon it.
